period, target, Mw5.95_R25.36_T0.2,sigma_Mw5.95_R25.36_T0.2,Mw6.56_R62.12_T1,sigma_Mw6.56_R62.12_T1,Mw7.03_R112.38_T5,sigma_Mw7.03_R112.38_T5
9.999999776482582092e-03,4.661909341812133789e-01,4.098924398422241211e-01,3.194676339626312256e-01,1.878725290298461914e-01,5.554273724555969238e-01,1.100323572754859924e-01,6.364969015121459961e-01
1.999999955296516418e-02,7.815183997154235840e-01,6.013795733451843262e-01,3.547908961772918701e-01,2.637743651866912842e-01,6.111835241317749023e-01,1.513149440288543701e-01,6.945086717605590820e-01
2.999999932944774628e-02,9.288672208786010742e-01,7.257878184318542480e-01,3.689330220222473145e-01,3.138453066349029541e-01,6.234781146049499512e-01,1.870362162590026855e-01,6.984769105911254883e-01
5.000000074505805969e-02,1.032947182655334473e+00,8.008366823196411133e-01,4.054445922374725342e-01,3.454670906066894531e-01,6.544784307479858398e-01,2.142985016107559204e-01,7.088391184806823730e-01
7.500000298023223877e-02,9.451777935028076172e-01,7.184162735939025879e-01,4.413951337337493896e-01,2.975260317325592041e-01,6.762333512306213379e-01,2.137317806482315063e-01,7.070828676223754883e-01
1.000000014901161194e-01,7.562069892883300781e-01,6.530226469039916992e-01,4.576261639595031738e-01,2.747473418712615967e-01,6.814455986022949219e-01,2.092092335224151611e-01,7.007410526275634766e-01
1.500000059604644775e-01,6.622442007064819336e-01,5.952455997467041016e-01,3.192267119884490967e-01,2.638312876224517822e-01,6.454730033874511719e-01,1.992791593074798584e-01,6.827535033226013184e-01
2.000000029802322388e-01,5.150858163833618164e-01,5.150858163833618164e-01,1.037295671579840928e-08,2.399344146251678467e-01,6.028675436973571777e-01,1.764139533042907715e-01,6.627633571624755859e-01
2.500000000000000000e-01,4.208647906780242920e-01,3.924520909786224365e-01,2.705338895320892334e-01,2.177568376064300537e-01,5.670827031135559082e-01,1.596722900867462158e-01,6.490793228149414062e-01
3.000000119209289551e-01,3.558116257190704346e-01,3.192613422870635986e-01,3.584472835063934326e-01,2.029888033866882324e-01,5.434437394142150879e-01,1.449331790208816528e-01,6.487470865249633789e-01
4.000000059604644775e-01,2.664865255355834961e-01,2.227361798286437988e-01,4.552879631519317627e-01,1.753030270338058472e-01,4.950462877750396729e-01,1.215701177716255188e-01,6.464037895202636719e-01
5.000000000000000000e-01,2.124386429786682129e-01,1.675031185150146484e-01,5.148129463195800781e-01,1.573075503110885620e-01,4.479821622371673584e-01,1.057767048478126526e-01,6.468927860260009766e-01
7.500000000000000000e-01,1.421184241771697998e-01,9.421403706073760986e-02,6.010395288467407227e-01,1.274456083774566650e-01,3.108918964862823486e-01,8.293521404266357422e-02,6.436455845832824707e-01
1.000000000000000000e+00,1.038947254419326782e-01,5.841884762048721313e-02,6.411197781562805176e-01,1.038947254419326782e-01,1.047913755769513955e-08,6.718975305557250977e-02,6.246443390846252441e-01
1.500000000000000000e+00,6.394156813621520996e-02,2.768740616738796234e-02,6.740391850471496582e-01,5.317724868655204773e-02,3.683816790580749512e-01,4.935814440250396729e-02,5.728165507316589355e-01
2.000000000000000000e+00,4.556062072515487671e-02,1.577702537178993225e-02,6.871665120124816895e-01,3.207148984074592590e-02,4.650680422782897949e-01,3.924791142344474792e-02,5.172419548034667969e-01
3.000000000000000000e+00,2.620743401348590851e-02,6.497053895145654678e-03,6.962046027183532715e-01,1.377757173031568527e-02,5.530376434326171875e-01,2.424589917063713074e-02,4.021256566047668457e-01
4.000000000000000000e+00,1.755379326641559601e-02,3.485728986561298370e-03,6.910720467567443848e-01,7.496165577322244644e-03,5.887050628662109375e-01,1.687348261475563049e-02,2.697319388389587402e-01
5.000000000000000000e+00,1.273921132087707520e-02,2.141661942005157471e-03,6.922394037246704102e-01,4.677583463490009308e-03,6.140809059143066406e-01,1.273921132087707520e-02,1.014682649014275739e-08
7.500000000000000000e+00,7.287561893463134766e-03,9.128052042797207832e-04,6.862758398056030273e-01,2.049565780907869339e-03,6.409617662429809570e-01,6.255811080336570740e-03,3.526820838451385498e-01
1.000000000000000000e+01,4.735775757580995560e-03,4.894341109320521355e-04,6.758868694305419922e-01,1.103929593227803707e-03,6.461061239242553711e-01,3.525687148794531822e-03,4.395922720432281494e-01
