period, median, 84th, 84th(NGA-east_sigma)
1.000000000000000021e-02,1.005296292775437611e-01,1.908422685465907820e-01,1.805946474109710320e-01
2.000000000000000042e-02,1.378534047488557956e-01,2.772965755690452450e-01,2.476286725748822193e-01
2.999999999999999889e-02,1.717597793734241540e-01,3.466184578320840037e-01,3.115023458646241084e-01
5.000000000000000278e-02,2.012242527175513718e-01,4.096180371971555045e-01,3.771801675519341757e-01
7.499999999999999722e-02,2.069982431384473631e-01,4.200204339535950626e-01,3.869699225023744971e-01
1.000000000000000056e-01,2.063845610480317949e-01,4.159542004167139928e-01,3.791505021992346847e-01
1.499999999999999944e-01,1.927341107791426811e-01,3.817019576348790744e-01,3.505881023986181511e-01
2.000000000000000111e-01,1.660930549836769354e-01,3.228667922565595094e-01,3.038047433647997897e-01
2.500000000000000000e-01,1.465259922065745291e-01,2.815402048055284934e-01,2.696251966148838775e-01
2.999999999999999889e-01,1.296323686328006153e-01,2.496779779945078603e-01,2.399631201697531024e-01
4.000000000000000222e-01,1.037363385276983130e-01,2.007026747746730455e-01,1.938741958280373323e-01
5.000000000000000000e-01,8.642787785120754906e-02,1.686881794898574538e-01,1.621712351481806313e-01
7.500000000000000000e-01,6.168311543520040713e-02,1.229706351988828494e-01,1.158213373346527048e-01
1.000000000000000000e+00,4.644492242241137631e-02,9.327554750991941257e-02,8.664511570884322889e-02
1.500000000000000000e+00,3.060970098016390153e-02,6.159203563115375757e-02,5.624290286309473197e-02
2.000000000000000000e+00,2.247296596977571212e-02,4.514231351911657947e-02,4.075818075903119703e-02
3.000000000000000000e+00,1.238488165851793499e-02,2.475366095960487497e-02,2.193436641583391272e-02
4.000000000000000000e+00,8.001257736597119571e-03,1.582226309026764713e-02,1.398249578684352366e-02
5.000000000000000000e+00,5.659345741025947722e-03,1.118138421613129249e-02,9.812163525005921164e-03
7.500000000000000000e+00,3.155676478397631893e-03,6.191335865529609857e-03,5.419430306993743181e-03
1.000000000000000000e+01,1.950166135458252827e-03,3.786353175907131424e-03,3.335149702338094727e-03
